scenario_id,league_nights_per_week,events_per_month,retention_utilization_uplift,membership_active_members,membership_discount_pct,cash_after_debt,dscr,required_utilization_multiplier_for_cash_break_even
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,0,0.0,-10967.936366825166,0,1.1430134869848436
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,0,0.05,-10967.936366825166,0,1.1430134869848436
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,0,0.1,-10967.936366825166,0,1.1430134869848436
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,0,0.15,-10967.936366825166,0,1.1430134869848436
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,50,0.0,-10211.936366825166,0,1.1318560341484376
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,50,0.05,-10260.797456768216,0,1.1325705639216117
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,50,0.1,-10309.658546711265,0,1.1332859964161424
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,50,0.15,-10358.519636654315,0,1.134002333343829
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,150,0.0,-8699.936366825166,0,1.1101820915959666
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,150,0.05,-8846.519636654315,0,1.1122469037454379
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,150,0.1,-8993.10290648345,0,1.1143194108371173
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,150,0.15,-9139.686176312613,0,1.1163996559664568
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,300,0.0,-6431.936366825166,0.09615055959588124,1.0791841021934383
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,300,0.05,-6725.102906483449,0.05495325948233152,1.0830931995593398
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,300,0.1,-7018.269446141761,0.01375595936877771,1.087030719500206
S12_BASE_PLUS_PROGRAMS2,0,6,0.05,300,0.15,-7311.435985800044,0,1.0909969731327487
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,0,0.0,-9881.855539545466,0,1.1270525498621253
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,0,0.05,-9881.855539545466,0,1.1270525498621253
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,0,0.1,-9881.855539545466,0,1.1270525498621253
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,0,0.15,-9881.855539545466,0,1.1270525498621253
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,50,0.0,-9125.855539545466,0,1.1162030458811059
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,50,0.05,-9174.728746717306,0,1.1168981155215996
S12_BASE_PLUS_PROGRAMS2,0,6,0.07,50,0.1,-9223.601953889147,0,1.1175940513536677
